11.2.2015,11.3.2015,11.4.2015,11.5.2015,11.6.2015,11.7.2015,11.8.2015
sheets,bed,bed,bed,air mattress,air mattress,air mattress
pillow,sheets,sheets,sheets,sheets,sheets,sheets
mattress,comforter,mattress,pillow,blanket,blanket,blanket
comforter,pillow,pillow,mattress,pillow,pillow,pillow
hardwood floor,iPhone,iPhone,iPhone,stuffed animal,pillow case,pillow case
desk,clothes,iPhone charger,hardwood floor,toilet,stuffed animal,stuffed animal
glasses,backpack,desk,desk,door,iPhone,iPhone
iPhone,iPhone,notebook,chair,iPhone,iPhone charger,iPhone charger
door,door,pen,door,toiletry bag,water bottle,glasses couch
inhaler,stairs,prednizone,sink,inhaler,chair,door
spacer,sidewalk,door,hand soap,spacer,window,toilet
gym shorts,bike lock,hardwood floor,contact case,inhaler,toiletry bag,sink
t-shirt,bike,toilet,contacts,inhaler,inhaler,door
closet door,street,sink,toilet,heart burn pill,spacer,pillow
fleece jacket,keys,soap,inhaler,spacer,inhaler,pillow
bowl,door,iPhone,spacer,toothbrush,inhaler,mattress
spoon,couch,dishwasher,inhaler,toothpaste,heart burn pill,sheets
counter,notebook,bowl,bowl,sink,sink,blanket
chocolate animal crackers,pen,pantry,door,water bottle,hand sanitizer,glasses
banana,inhaler,frosted mini wheats,pantry,pants,soap,iPhone
toilet,spacer,fridge,frosted mini wheats,t-shirt,contact case,door
sink,backpack,milk,fridge,wallet,contacts,toilet
hand soap,deodorant,spoon,milk,sambas,towel,sink
keys,paper towel,chair,spoon,door,backpack,hand soap
wallet,counter,desk,inhaler,stairs,bag,heart burn pill
iPhone,garbage bin,bed,spacer,door,hand soap,toiletry bag
backpack,pantry,lamp,pants,sidewalk,shower,door
bike lock,frosted mini wheats,book,deodorant,street,body wash,door
stack of paper,bowl,pencil,shirt,door,towel,shelf
bicycle,spoon,curtains,inhaler,frosted mini wheats,socks,inhaler
sambas,fridge,inhaler,spacer,bananas,underwear,spacer
curtains,milk,spacer,toothbrush,yogurt,pants,inhaler
door,desk,soap,toothpaste,yogurt,belt,inhaler
helmet,light,sink,listerine,wallet,backpack,toothbrush
bicycle,laptop,contact case,laptop,credit card,shirt,toothpaste
sidewalk,laptop charger,contacts,laptop case,bag,deodorant,sink
street,iPhone,floss,laptop charger,iPhone,jacket,towel
backpack,inhaler,inhaler,book,door,hand sanitizer,hand soap
keys,spacer,spacer,book,hand soap,book,backpack
door,wallet,pantry,backpack,hand sanitizer,pencil,bag
stairs,credit card,deodorant,bike lock,wallet,water bottle,underwear
door,mug,shirt,jacket,credit card,shirts,sink
stack of paper,sink,inhaler,bike,bag,couch,shower
door,kettle,spacer,wallet,iPhone,notebook,body wash
stairs,fridge,door,keys,door,pen,towel
door,milk,package,water bottle,sidewalk,iPhone,socks
stairs,pantry,book,sambas,street,couch,underwear
keys,frosted mini wheats,book,door,steps,backpack,deodorant
bike lock,bowl,book,iPhone,buzzer,couch,door hanger
backpack,spoon,book,keys,door,paper towel,door
bicycle,tea,book,street,stairs,door,door
iPhone,laptop,inhaler,backpack,door,stairs,backpack
sidewalk,twix,spacer,bike lock,cabinet,door buzzer,couch
street,milky way,toe nail clipper,door,bowl,door,toiletry bag
keys,peanuts m&ms,listerine,wallet,drawer,stairs,contact case
sweatshirt,garbage bin,paper towel,credit card,spoon,sidewalk,sink
spoon,laptop,toothbrush,elevator,milk,street,hand sanitizer
bowl,desk,toothpaste,door,frosted mini wheats,stairs,hand soap
chocolate animal crackers,mouse,laptop,paper,fridge,wallet,contacts
spoons,mouse pad,backpack,chair,yogurt,metro card,toiletry bag
iPhone,chair,laptop charger,door,sink,metro kiosk,backpack
cabinets,sink,iPhone charger,chair,garbage,credit card,sheets
fork,soap,books,tongue depressor,laptop,metro card,blanket
plates,contact case,chocolate animal crackers,scale,television,turnstile,air mattress
bowls,contacts,bowl,heart rate monitor,couch,stairs,pants
dish washing machine,floss,spoon,blood pressure monitor,window,bench,belt
sink,toothbrush,backpack,door,notebook,pillar,backpack
dish soap,toothpaste,door,paper,pen,subway car,shirt
sponge,pants,floor mat,door,stuffed animal,bench,banana
plates,belt,bike,elevator,laptop,bar,shirt
lids,t-shirt,sidewalk,door,television,door,iPhone charger
forks,jacket,street,backpack,contact case,stairs,laptop
spoons,shoes,door,bike lock,soap sink,turnstile,couch
glasses,granola bar,wallet,keys,contact case,stairs,frosted mini wheats
frying pan,backpack,card,backpack,contacts,sidewalk,fridge
washing machine,books,sandwich,bike,toilet,street,backpack
drier,laptop case,backpack,streets,door,iPhone,bag of cookies
garbage bin,laptop,door,crosswalk,towel,door,drawer
laundry,laptop charger,bike,backpack,bathroom,escalator,spoon
laundry basket,bike lock,street,bike lock,soap,chair,toiletry bag
notebook,bike,backpack,keys,soap,table,dresser
pen,wallet,bike lock,stairs,towel,chewing gum,couch
desk lamp,keys,stairs,door,socks,plate,counter
couch,iPhone,door,door,underwear,glass,backpack
toilet,raisins,door,light,pants,napkin,clothes
iPhone,candy bar,chair,laptop case,shirt,dimsum,t-shirt
sink,door,desk,backpack,book,chopsticks,jacket
soap,street,backpack,chair,couch,door,deodorant
drying machine,wallet,iPhone,desk,backpack,urinal,hand sanitizer
kashi cereal,credit card,sandwich,projector,laptop,sink,sambas
bowl,jimmy johns sandwich,laptop,water bottle,book,soap,backpack
spoon,bike lock,water bottle,backpack,iPhone,paper towel,door
fridge,stairs,candy,granola bar,sambas,door,stairs
milk,door,raisins,door,door,table,door
notebook,books,water fountain,door,stairs,chair,steps
pen,scanner,hand sanitizer,stairs,door,iPhone,sidewalk
coffee table,door,door,door,steps,hand sanitizer,street
kettle,hand sanitizer,door,iPhone,street,dimsum,railing
mug,paper towel,stairs,backpack,chair,chopsticks,iPhone
tea,door,bike lock,dvd case,table,iPhone,door
seaweed snack,chair,backpack,dvd case,glass,jacket,counter
banana,carpet,bike,door,napkin,book,door
dish soap,desk,streets,stairs,sink,escalator,sidewalk
sink,sandwich,iPhone,door,hand soap,sidewalk,door
garbage bin,laptop,keys,computer,napkin,street,counter
book,raisins,door,printer,chair,wallet,bagel
laptop charger,m&ms,shoes,copier,table,cash,salmon
laptop,laptop,backpack,door,turkey burger,bananas,cream cheese
inhaler,raisins,sink,laptop,sauce cup,bag,wallet
spacer,m&ms,hand soap,laptop case,fork,sidewalk,credit card
inhaler,laptop,cup of noodles,printer,plate,street,bagel
laptop,raisins,fork,paper,salad,stairs,cream cheese
inhaler,granola bar,sink,folder,bill,turnstile,bag
laptop,spiral notebook,microwave,backpack,wallet,bench,backpack
inhaler,backpack,tin foil,keys,credit card,book,knife
laptop,jacket,couch,bike lock,receipt,pencil,napkins
drier,wallet,chair,backpack,pen,subway car,hand sanitizer
laundry,credit card,coffee table,bike,glass,seat,door
washing machine,banana,laptop,street,street,book,sidewalk
detergent,granola bar,jacket,steps,door,pencil,street
fabric softener sheet,sidewalk,garbage bin,bike lock,stairs,door,bench
laptop,door,iPhone,door,door,stairs,bagel
inhaler,desk,back pack,wallet,shirt,turnstile,cream cheese
spacer,chair,door,credit card,soap,street,knife
toothbrush,laptop,sambas,acid reflux pills,paper towel,sidewalk,backpack
toothpaste,laptop charger,keys,iPhone,shirt,door,bagel
sink,book of poetry,bike,door,book,fridge,salmon
hand soap,water bottle,street,contacts,pencil,six pack of cider,cream cheese
freezer,door,bike lock,wallet,water bottle,wallet,iPhone
plate,sidewalk,door,card,chewing gum,credit card,sidewalk
baked potato,door,six pack of beer,backpack,sambas,bag,street
microwave,elevator,register,door,jacket,iPhone,steps
bread,book,wallet,keys,door,door,wallet
peanut butter,stairs,credit card,bike lock,stairs,stairs,subway card
jelly,door,bag,backpack,door,door,turnstile
drawer,door,backpack,bike,sidewalk,counter,backpack
knife,scanner,deodorant,street,street,sink,book
chocolate,keypad,keys,door,fence,couch,pencil
denim jacket,bike lock,bike lock,keys,bridge,bananas,subway car
chair,bike,backpack,chair,door,bottle of cider,bench
couch,backpack,bike,desk,wallet,bottle of cider,book
fridge,CVS door,street,laptop,credit card,bottle of cider,pencil
chocolate snack pack,frosted mini wheats,keys,pills,jacket,bottle opener,turnstile
garbage,frosted mini wheats,bike lock,mouse,book,playstation four,steps
fridge,cheese stick,steps,mousepad,tea,playstation four controller,street
hummus,inhaler,door,iPhone,door,couch,sidewalk
garbage,inhaler,backpack,sink,toilet,carpet,iPhone
couch,inhaler,bananas,sponge,soap,bottle of cider,steps
laptop,wallet,six pack of beer,dish soap,sink,bottle of cider,subway kiosk
laundry basket,credit card,wallet,plates,paper towel,bottle of cider,wallet
laundry,door,card,cups,chair,bottle opener,subway card
ties,bike lock,backpack,bowls,table,couch,credit card
closet,backpack,bike lock,silverware,book,toilet,turnstile
fridge,keys,steps,drying rack,tea,sink,bench
milk,wallet,door,frying pan,iPhone,hand soap,book
bowl,backpack,backpack,oil,pencil,sambas,pencil
pantry,laptop,root beer,knife,book,jacket,subway car
captain crunch,desk,root beer,pantry,iPhone,door,bench
spoon,chair,table,door,jacket,iPhone,bar
recycling bin,laptop charger,couch,onion,cup,stairs,book
couch,mousepad,root beer,stove top,garbage,door buzzer,pencil
notebook,mouse,root beer,garlic,iPhone,door,turnstile
pen,iPhone,root beer,fridge,street,stairs,steps
desk,bowl,root beer,egg carton,sidewalk,sidewalk,street
charger,fridge,fridge,egg,stairs,street,sidewalk
laptop,milk,bottle opener,egg,wallet,door,iPhone
mousepad,frosted mini wheats,table,egg,subway card,booth,door
mouse,spoon,floor,freezer,turnstile,table,counter
bowl,kettle,Pandemic box,baked potato,subway car,cup,door
spoon,mug,Pandemic game pieces & cards,plate,stairs,water,sidewalk
chocolate animal crackers,fork,chair,microwave,turnstile,menu,door
desk chair,table,table,fork,stairs,plate,counter
iPhone,freezer,pizza,sponge,street,fork,wallet
banana,chicken,plate,dish soap,door,napkin,credit card
garbage,chair,pizza,sink,table,jacket,iPad
kettle,playstation 4,couch,paper towel,chairs,door,table
mug,dido cd case,table,cabinet,pint of beer,sink,bench
frying pan,dido cd,Carcassonne box,towel,coaster,hand sanitizer,Pandemic box
dish soap,frying pan,Carcassonne game pieces & cards,soap,table,door,coffee
sponge,onion,fridge,shower,wallet,booth,coffee cup
drying rack,cutting board,root beer,shower curtain,credit card,table,Pandemic pieces & cards
stovetop,garbage bin,root beer,tub,pint of beer,crisps,iPhone
freezer,knife,bottle opener,washcloth,pint of beer,spoon,shelf
hotdog,wooden spoon,stairs,shampoo,pen,sauces,Carcassonne box
hotdog,oil,book,towel,receipt,plate,Carcassonne pieces & cards
cutting board,spices,book,clothes,table,garlic naan,iPhone
lid,garlic,book,moisturizing cream,chair,fork,shelf
onion,freezer,backpack,shirts,empty glass,bhindi masala,door
knife,okra,bike,underwear,empty glass,spoon,toilet
garlic,indian daal,door,socks,empty glass,white rice,sink
wooden spoon,plate,bike,sweater,empty glass,naan,granola bar
dish soap,sponge,streets,iPhone charger,book,bhindi masala,granola bar
sponge,dish soap,backpack,books,door,cup,wallet
sink,sink,keys,bananas,sidewalk,water,cash
oil,fork,bike lock,water bottle,street,wallet,change
black pepper,m&ms,door,chocolate,door,bill,tip jar
red pepper,twix,shaving razors,paper towel,stairs,credit card,door
freezer,snickers,chewing gun,toiletry bag,chewing gum,credit card,sidewalk
okra,chair,wallet,toothbrush,iPhone,receipt,street
fridge,playstation 4,credit card,toothpaste,ticket,pen,iPhone
ziploc,waterbottle,self checkout,inhalers,chair,jacket,door
rice,chair,backpack,spacer,table,iPhone,counter
plate,toilet,twenty dollar bill,pills,door,door,chicken sandwich
fork,notebook,door,glasses,urinal,door,wallet
sink,pen,keys,glasses case,sink,sidewalk,credit card
sponge,iPhone,bike lock,contacts,soap,street,backpack
dish soap,laptop,stairs,contact case,paper towel,door,door
towel,mouse,street,contact fluid,door,ice cream cone,toilet
washcloth,chair,keys,floss,playbill,ice cream,sink
hand soap,desk,door,paper towel,door,rainbow sprinkles,hand soap
sink,laundry,backpack,spacer,stairs,wallet,jacket
shower,towels,laptop case,inhaler,seat,credit card,backpack
dove soap,toilet,laptop,singulair,iPhone,door,door
towel,sink,desk,backpack,stairs,napkins,door
clothes,soap,desk chair,clothes,door,door,sidewalk
jacket,paper,laptop charger,sambas,jacket,sidewalk,street
candy,laptop,mouse,keys,door,street,bus
con air dvd case,pants,mousepad,door,urinal,stairs,bus seat
door,belt,desk light,sidewalk,sink,door,iPhone
car,inhaler,kettle,crosswalk button,soap,stairs,book
door,spacer,sink,street,paper towel,door,pencil
chocolate,backpack,door,iPhone,door,couch,bus seat
candy,inhaler,toilet,glass,stairs,floor,backpack
con air dvd case,inhaler,sink,door,sidewalk,television,light
con air dvd,spacer,hand soap,backpack,SUV door,Apple TV,chicken sandwich
couch,pills (singulair),iPhone,iPhone,SUV,bathroom,granola bar
wine glass,contacts,laptop,chair,seat,sink,reading light
wine,contact case,mouse,desk,seatbelt,hand soap,iPhone
paper towel,contact fluid,chair,window,window,sambas,book
leather chair,book,desk,book,door,iPhone,pencil
door,bike lock,bowl,book,sidewalk,jacket,water bottle
car,bike,frosted mini wheats,backpack,street,banana,reading light
door,door,fridge,door,door,door,AAA battery
contact case,street,milk,stairs,counter,chewing gum,iPhone
contact fluid,bike lock,spoon,sidewalk,menu,stairs,backpack
glasses,street sign,kettle,door,chair,wallet,door
inhalers,door,cabinet,door,candy,subway card,door
spacer,stairs,mug,chair,cup f water,turnstile,urinal
bike,door,tea bag,table,book,subway car,sink
bike lock,cup,chair,backpack,door,bench,hand soap
street,water,desk,book,toilet,suitcase,AAA batteries
street sign,sink,coaster,book,soap,book,wallet
stairs,chair,laptop,water bottle,paper towel,pencil,credit card
door,table,mouse,granola bar,counter,stairs,backpack
cup,sink,mousepad,iPhone,chair,bench,iPhone charger
sink,soap,desk lamp,backpack,box,subway car,outlet
sheets,drying rack,chair,door,bag,platform,reading light
pillow,door,door,sidewalk,wallet,subway car,AAA battery
mattress,stairs,bed,iPhone,credit card,subway seat,AAA battery
,door,soap,door,iPad,book,water fountain
,bike lock,electric razor,wallet,bags,pencil,water bottle
,backpack,contact case,credit card,door,bench,backpack
,iPhone,contacts,sandwich,stairs,platform,door
,keys,sink,bus,floorboards,book,door
,door,shaving cream,chair,table,pencil,bus
,shoes,shaving razor,bananas,beer,subway car,bus seat
,sink,towel,pretzels,bottle opener,bench,iPhone
,hand soap,pills,water battle,fork,book,backpack
,contact case,inhaler,reading lamp,macaroni & cheese,pencil,bus seat
,contact fluid,spacer,book,garbage bin,stairs,book
,toothbrush,inhaler,pencil,bottle cap,street,pencil
,toothpaste,inhaler,granola bar,counter,sidewalk,reading light
,bed,paper towel,banana,garbage bin,steps,backpack
,pillows,bananas,book,chair,iPhone,granola bar
,sheets,banana hanger,inhaler,powdered sugar,door,book
,mattress,pants,spacer,chair,stairs,pencil
,lamp,water bottle,steps,couch,door,iPhone
,book,toothbrush,door,knife,iPhone,water bottle
,iPhone charger,toothpaste,sidewalk,plate,door,book
,iPhone,listerine,urinal,fork,air mattress,pencil
,,chinese money tree,soap,plate,counter,backpack
,,curtain,sink,fork,couch,steps
,,garbage bin,wallet,plate,notebook,sidewalk
,,plastic bag,credit card,fork,pen,street
,,chewing gum,chicken sandwich,plate,counter,keys
,,chair,door,fork,knife,iPhone
,,notebook,table,plate,fridge,door
,,pen,chair,fork,yogurt,lights
,,,chicken sandwich,plate,drawer,chair
,,,chocolate,fork,spoon,door
,,,banana,plate,garbage,lights
,,,pretzels,fork,sink,garbage
,,,banana,plate,couch,backpack
,,,garbage bin,fork,air mattress,toiletry bag
,,,notebook,plate,iPhone,door
,,,pen,fork,water bottle,door
,,,book,plate,door,hand sanitizer
,,,reading lamp,fork,sambas,inhaler
,,,banana,cake,stairs,spacer
,,,backpack,chair,door,inhaler
,,,steps,sink,seat,inhaler
,,,street,soap,door,singulair
,,,stairs,counter,stairs,contact case
,,,metro card,chair,door,contact fluid
,,,metro kiosk,paper,inhaler,sink
,,,wallet,pen,spacer,hand soap
,,,credit card,sharpie marker,inhaler,contacts
,,,metro card,pencil,inhaler,toilet
,,,turnstile,drawer,hand sanitizer,toiletry bag
,,,book,iPhone,contact case,toothbrush
,,,pencil,door,contact fluid,toothpaste
,,,platform,toilet,contacts,sink
,,,subway car,sink,glasses,listerine
,,,chair,hand soap,sink,laundry basket
,,,platform,jacket,hand soap,gym sorts
,,,stairs,chewing gum,mirror,pillow
,,,street,door,toothbrush,pillow
,,,iPhone,stairs,toothpaste,pillow
,,,buzzer,street,singulair,bed
,,,stairs,sidewalk,water bottle,sheets
,,,door,stairs,backpack,comforter
,,,beer,wallet,shirt,light
,,,backpack,subway card,iPhone,notebook
,,,cup,stairs,iPhone charger,pen
,,,sink,stairs,playing cards,book
,,,dish soap,subway card,air mattress,pencil
,,,door,chair,sheets,
,,,stairs,poster,blanket,
,,,elevator,subway car,pillow,
,,,roof,bench,pillow case,
,,,chair,book,stuffed animal,
,,,chewing gum,pencil,book,
,,,elevator,stairs,pencil,
,,,door,street,notebook,
,,,inhaler,sidewalk,pen,
,,,spacer,door,,
,,,inhaler,stairs,,
,,,inhaler,door,,
,,,,couch,,
,,,,water bottle,,
,,,,sink,,
,,,,water bottle,,
,,,,contact case,,
,,,,contact fluid,,
,,,,glasses,,
,,,,sink,,
,,,,soap,,
,,,,hand sanitizer,,
,,,,contacts,,
,,,,inhaler,,
,,,,spacer,,
,,,,inhaler,,
,,,,inhaler,,
,,,,toothbrush,,
,,,,toothpaste,,
,,,,sink,,
,,,,toilet,,
,,,,sink,,
,,,,soap,,
,,,,air mattress,,
,,,,air mattress pump,,
,,,,sheets,,
,,,,blanket,,
,,,,pillow,,
,,,,stuffed animal,,
,,,,singulair,,
,,,,water bottle,,
,,,,t-shirt,,
,,,,air mattress,,
,,,,notebook,,
,,,,pen,,
,,,,lamp,,
,,,,air mattress,,
,,,,pillow,,
,,,,sheets,,
,,,,blanket,,
,,,,water bottle,,
,,,,iPhone charger,,
,,,,iPhone,,
